rfq_index,rfq_date,rfq_product_type,rfq_location,rfq_title,rfq_description,supplier_index,supplier_name,supplier_product_type,supplier_product_name,supplier_product_description,supplier_delivery_area,product_match,location_match,text_similarity
0,2024-06-24,Sporting Goods,Vienna,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Vienna. Kindly send me details on availability and cost.",253,"Holloway, Hamilton and Swanson",Sporting Goods,Quantum Odyssey Mat,Our mat stands out: mat providing cushioning for yoga and exercises. Great for tech-savvy users..,"Dublin, Munich, Zurich",1,0,0.0
0,2024-06-24,Sporting Goods,Vienna,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Vienna. Kindly send me details on availability and cost.",279,"Rice, Smith and Harris",Electronics,Aurora Pinnacle Smartphone,"Our smartphone stands out: portable device for calls, internet, apps, and more. Great for everyday use..","Madrid, Paris, Helsinki, Copenhagen, Brussels",0,0,0.0
0,2024-06-24,Sporting Goods,Vienna,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Vienna. Kindly send me details on availability and cost.",504,Bowers LLC,Service,Serene Orbit Cleaning,"Elevate your experience with complete house cleaning service including dusting, vacuuming, and sanitizing. Designed for eco-conscious spaces..","Rome, Vienna, Lisbon",0,1,0.0
0,2024-06-24,Sporting Goods,Vienna,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Vienna. Kindly send me details on availability and cost.",547,Green-Cole,Audio,Eclipse Wave Headphones,Our headphones stands out: headphones that reduce ambient noise for focused listening. Great for home enthusiasts..,"Berlin, Barcelona, Stockholm, Paris",0,0,0.0
0,2024-06-24,Sporting Goods,Vienna,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Vienna. Kindly send me details on availability and cost.",533,Brewer-Williams,Clothing,Zenith Flux Sneakers,Elevate your experience with comfortable footwear for everyday use or sports. Designed for all-day comfort..,"Brussels, Zurich, Barcelona",0,0,0.0
1,2024-06-25,Toys,Berlin,Inquiry: Toys,"Dear supplier, I need Toys delivered to Berlin. Kindly send me details on availability and cost.",381,Meyer-Bennett,Toys,Radiant Odyssey Figure,Experience poseable toy figure modeled after characters or heroes. Loved by everyday use..,"Vienna, Munich, Prague",1,0,0.0
1,2024-06-25,Toys,Berlin,Inquiry: Toys,"Dear supplier, I need Toys delivered to Berlin. Kindly send me details on availability and cost.",953,Osborne PLC,Beauty,Echo Matrix Cream,"Introducing our cream, moisturizer for hydrating and nourishing facial skin. Ideal for outdoor adventures..","Brussels, Munich, Dublin",0,0,0.0
1,2024-06-25,Toys,Berlin,Inquiry: Toys,"Dear supplier, I need Toys delivered to Berlin. Kindly send me details on availability and cost.",977,"Doyle, Hudson and Myers",Sporting Goods,Celestial Orbit Set,Experience adjustable or fixed-weight dumbbells for strength training. Loved by eco-conscious spaces..,"Oslo, Madrid, Prague, Barcelona",0,0,0.0
1,2024-06-25,Toys,Berlin,Inquiry: Toys,"Dear supplier, I need Toys delivered to Berlin. Kindly send me details on availability and cost.",970,"Lyons, Campbell and Olson",Food,Solstice Reverie Oil,Our oil stands out: cold-pressed extra virgin olive oil for cooking and salads. Great for outdoor adventures..,"Munich, Athens",0,0,0.0
1,2024-06-25,Toys,Berlin,Inquiry: Toys,"Dear supplier, I need Toys delivered to Berlin. Kindly send me details on availability and cost.",866,"Clark, Reed and Jones",Books,Vertex Reverie Guide,"Introducing our guide, informational book on destinations and travel tips. Ideal for outdoor adventures..","Paris, Helsinki, Zurich, Berlin, Vienna",0,1,0.0
2,2024-06-26,Sporting Goods,Brussels,Looking for Sporting Goods,"Hi, do you have any Sporting Goods available? I'm planning to buy soon and need delivery to Brussels.",365,"Ramirez, Peck and Thompson",Sporting Goods,Velvet Horizon Set,Our set stands out: adjustable or fixed-weight dumbbells for strength training. Great for everyday use..,"Helsinki, Brussels, Oslo, Dublin",1,1,0.0
2,2024-06-26,Sporting Goods,Brussels,Looking for Sporting Goods,"Hi, do you have any Sporting Goods available? I'm planning to buy soon and need delivery to Brussels.",491,"Ford, Brown and Hughes",Food,Serene Matrix Yogurt,"Discover the thick, creamy yogurt rich in protein and probiotics. Perfect for home enthusiasts..","Rome, Zurich, Dublin, Helsinki",0,0,0.0
2,2024-06-26,Sporting Goods,Brussels,Looking for Sporting Goods,"Hi, do you have any Sporting Goods available? I'm planning to buy soon and need delivery to Brussels.",808,Howard-Beasley,Beauty,Serene Vista Balm,Experience wax-like substance to protect and soothe lips. Loved by on-the-go convenience..,"Oslo, Budapest, Paris",0,0,0.0
2,2024-06-26,Sporting Goods,Brussels,Looking for Sporting Goods,"Hi, do you have any Sporting Goods available? I'm planning to buy soon and need delivery to Brussels.",43,Garcia and Sons,Furniture,Echo Orbit Set,Discover the table with matching chairs for dining purposes. Perfect for on-the-go convenience..,"Oslo, Rome, Vienna, Lisbon, Brussels",0,1,0.0
2,2024-06-26,Sporting Goods,Brussels,Looking for Sporting Goods,"Hi, do you have any Sporting Goods available? I'm planning to buy soon and need delivery to Brussels.",203,Davis-Reynolds,Service,Pinnacle Zenith Grooming,"Discover the washing, brushing, and trimming services for all types of pets. Perfect for home enthusiasts..","Barcelona, Munich, Rome",0,0,0.0
3,2024-06-27,Electronics,Lisbon,Looking for Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Lisbon?",943,"Jackson, Williams and Cunningham",Electronics,Aurora Flux Router,"Introducing our router, device that distributes internet connection wirelessly. Ideal for eco-conscious spaces..","Munich, Amsterdam",1,0,0.0
