product_name,product_description,product_type,supplier_name,delivery_area
Eclipse Orbit Book,Experience guidebook offering advice for personal improvement. Loved by outdoor adventures..,Books,Avila-Blake,"Berlin, Stockholm, Rome"
Celestial Vertex Bar,"Our bar stands out: a wholesome snack bar made with oats, honey, and nuts. Great for everyday use..",Food,Avila-Blake,"Berlin, Stockholm, Rome"
Celestial Vertex Grooming,"Introducing our grooming, washing, brushing, and trimming services for all types of pets. Ideal for everyday use..",Service,Avila-Blake,"Berlin, Stockholm, Rome"
Eclipse Solace Router,Elevate your experience with device that distributes internet connection wirelessly. Designed for all-day comfort..,Electronics,Avila-Blake,"Berlin, Stockholm, Rome"
Nexus Essence Jeans,Elevate your experience with denim trousers suitable for casual wear. Designed for professional setups..,Clothing,Avila-Blake,"Berlin, Stockholm, Rome"
Solstice Mirage Polish,Our polish stands out: colored lacquer applied to fingernails or toenails. Great for home enthusiasts..,Beauty,Avila-Blake,"Berlin, Stockholm, Rome"
Halo Vector Tracker,Discover the wearable device for tracking health metrics. Perfect for creative work..,Sporting Goods,Avila-Blake,"Berlin, Stockholm, Rome"
Aurora Vector Oil,Our oil stands out: cold-pressed extra virgin olive oil for cooking and salads. Great for modern lifestyles..,Food,Avila-Blake,"Berlin, Stockholm, Rome"
Aurora Wave Grooming,"Our grooming stands out: washing, brushing, and trimming services for all types of pets. Great for everyday use..",Service,Chan-Howell,"Amsterdam, Copenhagen, Dublin"
Cascade Mirage Tracker,Elevate your experience with wearable device for tracking health metrics. Designed for eco-conscious spaces..,Sporting Goods,Mosley-Moore,"Lisbon, Warsaw"
Vivid Arc Smartwatch,Elevate your experience with wearable gadget with fitness tracking and notifications. Designed for everyday use..,Electronics,Mosley-Moore,"Lisbon, Warsaw"
Nexus Wave Shampoo,Experience liquid soap for cleaning hair and scalp. Loved by creative work..,Beauty,"Garcia, Hood and Holden","Zurich, Athens, Munich, Copenhagen"
Quantum Orbit Set,"Introducing our set, adjustable or fixed-weight dumbbells for strength training. Ideal for all-day comfort..",Sporting Goods,"Garcia, Hood and Holden","Zurich, Athens, Munich, Copenhagen"
Radiant Horizon Ball,Discover the ball used in the sport of soccer/football. Perfect for creative work..,Sporting Goods,"Garcia, Hood and Holden","Zurich, Athens, Munich, Copenhagen"
Velvet Vector Book,Elevate your experience with guidebook offering advice for personal improvement. Designed for on-the-go convenience..,Books,"Garcia, Hood and Holden","Zurich, Athens, Munich, Copenhagen"
Aurora Aura Car,Elevate your experience with remote-controlled car powered by batteries. Designed for all-day comfort..,Toys,"Garcia, Hood and Holden","Zurich, Athens, Munich, Copenhagen"
Eclipse Odyssey Bar,"Discover the a wholesome snack bar made with oats, honey, and nuts. Perfect for on-the-go convenience..",Food,"Garcia, Hood and Holden","Zurich, Athens, Munich, Copenhagen"
Radiant Matrix Bar,"Discover the a wholesome snack bar made with oats, honey, and nuts. Perfect for modern lifestyles..",Food,Barry-Shaw,"Copenhagen, Athens, Lisbon, Barcelona, Vienna"
Pinnacle Matrix Mat,Experience mat providing cushioning for yoga and exercises. Loved by creative work..,Sporting Goods,Barry-Shaw,"Copenhagen, Athens, Lisbon, Barcelona, Vienna"
Halo Vertex Smartphone,"Discover the portable device for calls, internet, apps, and more. Perfect for home enthusiasts..",Electronics,Barry-Shaw,"Copenhagen, Athens, Lisbon, Barcelona, Vienna"
Zenith Arc Cleaning,"Our cleaning stands out: complete house cleaning service including dusting, vacuuming, and sanitizing. Great for everyday use..",Service,Barry-Shaw,"Copenhagen, Athens, Lisbon, Barcelona, Vienna"
Eclipse Horizon Soundbar,Elevate your experience with compact speaker system designed to enhance tv audio. Designed for eco-conscious spaces..,Audio,"Riggs, Shelton and Myers","Zurich, Amsterdam, Stockholm, Brussels"
Serene Odyssey Lotion,Experience moisturizer applied to the body to keep skin soft. Loved by everyday use..,Beauty,"Riggs, Shelton and Myers","Zurich, Amsterdam, Stockholm, Brussels"
Echo Odyssey Turntable,Experience vinyl record player with modern audio outputs. Loved by tech-savvy users..,Audio,"Riggs, Shelton and Myers","Zurich, Amsterdam, Stockholm, Brussels"
Celestial Matrix Yogurt,"Elevate your experience with thick, creamy yogurt rich in protein and probiotics. Designed for eco-conscious spaces..",Food,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Aurora Vector Headphones,"Introducing our headphones, headphones that reduce ambient noise for focused listening. Ideal for creative work..",Audio,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Eclipse Vector Car,"Introducing our car, remote-controlled car powered by batteries. Ideal for home enthusiasts..",Toys,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Quantum Spectrum Shampoo,Experience liquid soap for cleaning hair and scalp. Loved by everyday use..,Beauty,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Serene Odyssey Cookbook,"Introducing our cookbook, collection of recipes and cooking tips. Ideal for on-the-go convenience..",Books,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Luminous Horizon Guide,Our guide stands out: informational book on destinations and travel tips. Great for home enthusiasts..,Books,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Halo Orbit Pack,"Introducing our pack, multiple pairs of cotton or wool socks for daily use. Ideal for tech-savvy users..",Clothing,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Vivid Wave Bar,"Experience a wholesome snack bar made with oats, honey, and nuts. Loved by professional setups..",Food,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Quantum Flux Book,Our book stands out: illustrated book for young readers. Great for eco-conscious spaces..,Books,"Stark, Miller and Hernandez","Amsterdam, Munich, Copenhagen, Rome, Vienna"
Pinnacle Mirage Headphones,Discover the headphones that reduce ambient noise for focused listening. Perfect for professional setups..,Audio,"Owens, Rowe and Salinas","Zurich, Paris, Rome, Amsterdam"
