date,title,description,delivery_location,product_type
2024-06-24,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Vienna. Kindly send me details on availability and cost.",Vienna,Sporting Goods
2024-06-25,Inquiry: Toys,"Dear supplier, I need Toys delivered to Berlin. Kindly send me details on availability and cost.",Berlin,Toys
2024-06-26,Looking for Sporting Goods,"Hi, do you have any Sporting Goods available? I'm planning to buy soon and need delivery to Brussels.",Brussels,Sporting Goods
2024-06-27,Looking for Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Lisbon?",Lisbon,Electronics
2024-06-28,Need Clothing,"Hello, I'm interested in Clothing. Can you provide product details and pricing for delivery to Dublin?",Dublin,Clothing
2024-07-01,Need Beauty,"Hi, do you have any Beauty available? I'm planning to buy soon and need delivery to Dublin.",Dublin,Beauty
2024-07-02,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Munich?",Munich,Books
2024-07-03,Looking for Audio,"Dear supplier, I need Audio delivered to Paris. Kindly send me details on availability and cost.",Paris,Audio
2024-07-04,RFQ: Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Helsinki?",Helsinki,Furniture
2024-07-05,Need Service,"Hello, I'm interested in purchasing Service for my upcoming project. Could you share your catalog and pricing?",Munich,Service
2024-07-08,Looking for Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Rome.",Rome,Service
2024-07-09,Inquiry: Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",Berlin,Audio
2024-07-10,Inquiry: Audio,"Hi, I'm looking for high-quality Audio to be delivered to Budapest. Please let me know your best offer.",Budapest,Audio
2024-07-11,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",Dublin,Audio
2024-07-12,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Munich. Kindly send me details on availability and cost.",Munich,Sporting Goods
2024-07-15,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",Athens,Books
2024-07-16,RFQ: Food,"Hi, I'm looking for high-quality Food to be delivered to Amsterdam. Please let me know your best offer.",Amsterdam,Food
2024-07-17,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",Oslo,Electronics
2024-07-18,RFQ: Food,"Hello, I'm searching for Food with specific features. Do you have anything suitable in stock?",Warsaw,Food
2024-07-19,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",Budapest,Toys
2024-07-22,Seeking Toys,"Hi, I'm looking for high-quality Toys to be delivered to Helsinki. Please let me know your best offer.",Helsinki,Toys
2024-07-23,Request for Clothing,"Hi, do you have any Clothing available? I'm planning to buy soon and need delivery to Stockholm.",Stockholm,Clothing
2024-07-24,Request for Books,"Hello, I'm interested in purchasing Books for my upcoming project. Could you share your catalog and pricing?",Berlin,Books
2024-07-25,Looking for Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",Brussels,Toys
2024-07-26,Looking for Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",Madrid,Toys
2024-07-29,Inquiry: Clothing,"Hello, I'm interested in purchasing Clothing for my upcoming project. Could you share your catalog and pricing?",Warsaw,Clothing
2024-07-30,Need Sporting Goods,"Hi, I'm looking for high-quality Sporting Goods to be delivered to Prague. Please let me know your best offer.",Prague,Sporting Goods
2024-07-31,RFQ: Books,"Hi, do you have any Books available? I'm planning to buy soon and need delivery to Helsinki.",Helsinki,Books
